"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
10	1.002157677191926e+00	-9.405711373874597e-04	9.838845971267278e-01	3.376792387593852e-02	-2.205466595762189e-02	2.483979685592225e+00	1.878501592770218e-06	9.932612092426125e-01	1.009530195048553e+00	-7.154313272239132e-01	3.448127826848574e-02	5.597434158871148e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.830034534101519e-06	
11	1.001764302027105e+00	-1.147576562364959e-03	9.853176241002928e-01	3.027173042827524e-02	-2.536119636052052e-02	2.484128261192057e+00	1.674086428631658e-06	9.933347430136330e-01	1.008136583287710e+00	-7.076245314216706e-01	3.373666850498771e-02	5.591504425377393e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.626827018425417e-06	
12	1.002634920001156e+00	-3.367396366753189e-04	9.832142788938492e-01	3.627367068984975e-02	-1.648035171381649e-02	2.483593130646125e+00	2.344805304480734e-06	9.931143559759196e-01	1.010069094087210e+00	-7.310221700442109e-01	3.407633482982377e-02	5.599726070445946e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.293682360962072e-06	
13	1.002141390378987e+00	-6.017334626804813e-04	9.831818521173604e-01	3.653757385906911e-02	-2.181192199320590e-02	2.483812407130317e+00	2.096104685621405e-06	9.931566171100554e-01	1.010145391690473e+00	-7.265354690360726e-01	3.639485060765368e-02	5.600050512227487e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.046157765742376e-06	
14	1.001397368123266e+00	-1.354641506707144e-03	9.870625115313201e-01	2.339116376430328e-02	-2.595904466211527e-02	2.484131993264149e+00	1.528064192876940e-06	9.934053928043733e-01	1.006426017804296e+00	-7.001239166411860e-01	2.982370028008155e-02	5.584220603758395e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.481387424591243e-06	
15	1.001943252837712e+00	-1.943705357956286e-03	9.870307797123792e-01	2.056465670797671e-02	-1.837578933309935e-02	2.484239117192127e+00	1.607603356867724e-06	9.935415331947314e-01	1.006596302381016e+00	-6.856704184292327e-01	2.353686245358513e-02	5.584945969231393e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.562370983652378e-06	
16	1.001499246181984e+00	-1.771922444912274e-03	9.875394558846016e-01	1.796535686509065e-02	-2.027301984373087e-02	2.484154324305824e+00	1.514772256366530e-06	9.935131281902079e-01	1.006049046719106e+00	-6.886860677968544e-01	2.311244138661427e-02	5.582614597678955e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.468577448468594e-06	
17	1.002117207788181e+00	-2.378238005626925e-03	9.873603430633482e-01	1.725537558862224e-02	-1.453050748147161e-02	2.484120576464543e+00	1.770909571205627e-06	9.935451509679348e-01	1.006263982494373e+00	-6.852863334534962e-01	1.924923968593503e-02	5.583530322324372e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.728382822550491e-06	
18	1.002298932939275e+00	-2.866623546170520e-03	9.876017557925810e-01	1.427966580254656e-02	-1.099248712200900e-02	2.483958091082367e+00	2.507900537608393e-06	9.935174723480500e-01	1.005989981812782e+00	-6.882248653760418e-01	1.537544239114327e-02	5.582362937472867e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.466698888609374e-06	
19	1.002917811620432e+00	-2.997965104839454e-03	9.872766219162326e-01	1.693495579567424e-02	-1.022863140374764e-02	2.483978918720060e+00	2.921327074121857e-06	9.935122750952927e-01	1.006316014215912e+00	-6.887766375814596e-01	1.688301970475071e-02	5.583751986902127e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.876686750615176e-06	
