"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
1865, 8.770202903501004e-01, -4.189208860669032e-02, 1.002515269348083e+00, 2.670364094702894e-01, 1.995894797291408e-05, 5.783282871865741e-06
1862, 8.872672295746256e-01, -3.887502077415803e-02, 1.002248019208580e+00, 2.386634967492261e-01, 2.120271557903846e-05, 6.332844950583876e-06
1861, 8.971042476804670e-01, -3.589339531227590e-02, 1.001961527377667e+00, 2.082477681402379e-01, 2.257380824960617e-05, 6.932598932660117e-06
1739, 9.065337092413835e-01, -3.295812917585116e-02, 1.001656429389078e+00, 1.758566957998034e-01, 2.409256238482992e-05, 7.593139935289236e-06
1738, 9.155475464014634e-01, -3.008070732085472e-02, 1.001334064183758e+00, 1.416324299046663e-01, 2.578625168043362e-05, 8.329585606111084e-06
1618, 9.241277825024581e-01, -2.727481617617572e-02, 1.000994375903436e+00, 1.055690401983521e-01, 2.768921082192273e-05, 9.157799186834905e-06
1617, 9.322861238029431e-01, -2.454466906025256e-02, 1.000637777351480e+00, 6.771035241630176e-02, 2.984671871929282e-05, 1.009571380321536e-05
1538, 9.399950942287938e-01, -2.190766545109656e-02, 1.000263375363103e+00, 2.796154271097003e-02, 3.231040646706071e-05, 1.116513871942705e-05
1537, 9.472666673770933e-01, -1.936801344410222e-02, 9.998535862328791e-01, -1.554418285214018e-02, 3.515057338538124e-05, 1.239359026342693e-05
1419, 9.540933139134353e-01, -1.693683449765628e-02, 9.994087199356592e-01, -6.277391544301406e-02, 3.846108966426842e-05, 1.380450108815141e-05
1301, 9.604691403531374e-01, -1.462936578344041e-02, 9.989263536307377e-01, -1.139848786799651e-01, 4.235455424405101e-05, 1.541513418629316e-05
1300, 9.663887694175468e-01, -1.246184709995283e-02, 9.984134188887412e-01, -1.684411745433536e-01, 4.697090609664691e-05, 1.726493954033332e-05
1196, 9.718554596003331e-01, -1.044413433431151e-02, 9.978784747169397e-01, -2.252341263653295e-01, 5.249102465540222e-05, 1.942016428903823e-05
1059, 9.768521630321518e-01, -8.590693424624637e-03, 9.973256392327300e-01, -2.839265295640833e-01, 5.913556547783556e-05, 2.196234485959094e-05
915, 9.814000232833900e-01, -6.899380894519084e-03, 9.967583584950275e-01, -3.441525294051009e-01, 6.725228411707480e-05, 2.501931077966935e-05
767, 9.854707918496221e-01, -5.384376260682370e-03, 9.961838214554012e-01, -4.051489027304671e-01, 7.740246802429570e-05, 2.879828327016498e-05
616, 9.890844275484538e-01, -4.040329284972152e-03, 9.954309125303918e-01, -4.850823286062680e-01, 9.049391778864942e-05, 3.363422515113338e-05
540, 4.219629181381086e-01, -1.565503797565292e-01, 9.922787537993966e-01, -8.197348183076526e-01, -1.466620186349223e-06, -6.314486877359060e-08
539, 4.059765767759537e-01, -1.571340787117216e-01, 9.921471578041315e-01, -8.337058556850330e-01, -1.210124331191183e-06, -3.654111692717443e-08
536, 3.900895362754929e-01, -1.575128337321135e-01, 9.920357090565011e-01, -8.455379377759188e-01, -9.084825123903894e-07, -1.582275954509406e-08
535, 3.743255435915018e-01, -1.576853349886462e-01, 9.919657768769407e-01, -8.529623665554772e-01, -5.542721401144267e-07, -2.324024273160554e-09
534, 3.586875277512065e-01, -1.576445001550756e-01, 9.917618982961739e-01, -8.746073662122165e-01, -1.424373645228375e-07, 1.378430080654132e-09
533, 3.431988534453950e-01, -1.573841080868966e-01, 9.916341805925907e-01, -8.881666603755445e-01, 3.042103700000079e-07, -7.353783512570541e-09
532, 3.278928679042408e-01, -1.569000900882596e-01, 9.914640764636855e-01, -9.062259572272059e-01, 7.650782958521510e-07, -3.004617144504290e-08
531, 3.127717919495528e-01, -1.561891758672410e-01, 9.913067287721733e-01, -9.229309525041095e-01, 1.260979075623261e-06, -6.927615246337156e-08
530, 2.978478708810876e-01, -1.552494665095069e-01, 9.910850887794501e-01, -9.464616125095427e-01, 1.819346923986392e-06, -1.293373814155861e-07
529, 2.831542654336226e-01, -1.540836657673950e-01, 9.908427466859118e-01, -9.721901344156867e-01, 2.446465025321728e-06, -2.141264142661797e-07
528, 2.687049171666472e-01, -1.526987346922075e-01, 9.905704529425281e-01, -1.001098507035831e+00, 3.142866284729519e-06, -3.270880300288145e-07
527, 2.545033622501100e-01, -1.511018756968550e-01, 9.902578873447045e-01, -1.034282386539776e+00, 3.918041771764905e-06, -4.728838897880620e-07
526, 2.405830986273921e-01, -1.493046016754054e-01, 9.899054014381117e-01, -1.071704450684594e+00, 4.778038212476569e-06, -6.564236691719442e-07
525, 2.269565356045778e-01, -1.473173959131885e-01, 9.895145662045092e-01, -1.113197914418510e+00, 5.720599823792267e-06, -8.816490376276110e-07
524, 2.136354334665590e-01, -1.451514737190419e-01, 9.890656465461738e-01, -1.160857976667468e+00, 6.750806144451346e-06, -1.153565073798925e-06
523, 2.006410148863055e-01, -1.428206491617828e-01, 9.885562252739564e-01, -1.214941261045910e+00, 7.891317485318794e-06, -1.481551612438918e-06
522, 1.879741388647125e-01, -1.403337062847236e-01, 9.880042154944562e-01, -1.273546002372159e+00, 9.160711157013029e-06, -1.879732079650687e-06
520, 1.756579597024759e-01, -1.376942512793677e-01, 9.874231520111953e-01, -1.335235262952762e+00, 1.055513048961357e-05, -2.361616143593885e-06
519, 1.637051355587112e-01, -1.349037336232976e-01, 9.867927555303082e-01, -1.402162016911394e+00, 1.207759307928074e-05, -2.939858933992552e-06
518, 1.521370322869927e-01, -1.319689210629669e-01, 9.861166260487418e-01, -1.473944066508638e+00, 1.374962983616236e-05, -3.631360210135477e-06
517, 1.409639116463298e-01, -1.288976391589937e-01, 9.854108894126484e-01, -1.548869393085568e+00, 1.557074634738642e-05, -4.446549478535487e-06
509, 1.301864855825720e-01, -1.257004873074781e-01, 9.846645226418765e-01, -1.628108263772238e+00, 1.751747135286563e-05, -5.387221565528268e-06
508, 1.198146290926759e-01, -1.223935114356818e-01, 9.838481484617457e-01, -1.714779550094942e+00, 1.960218704972571e-05, -6.466050436456986e-06
428, 1.098763314320922e-01, -1.190009042060580e-01, 9.829610981861876e-01, -1.808954243864915e+00, 2.186321284140575e-05, -7.707191982958820e-06
355, 1.003586460298808e-01, -1.155349130325152e-01, 9.820106502720273e-01, -1.909859619497700e+00, 2.434745332279369e-05, -9.143583388397515e-06
354, 9.127835101500112e-02, -1.120165111138960e-01, 9.809949710480016e-01, -2.017690350772721e+00, 2.710111193625449e-05, -1.083264679237811e-05
287, 8.264737344339340e-02, -1.084555001794844e-01, 9.799424912365443e-01, -2.129428057951386e+00, 3.013994753305641e-05, -1.283311700200623e-05
221, 7.446653992783221e-02, -1.048583055974252e-01, 9.788684230606424e-01, -2.243457718209364e+00, 3.347013323366209e-05, -1.519524426919084e-05
161, 6.675310715960703e-02, -1.012395964668934e-01, 9.777798986953384e-01, -2.359022136132748e+00, 3.708053456880137e-05, -1.799091713204601e-05
149, 5.950359869004128e-02, -9.759851177322112e-02, 9.767104121402028e-01, -2.472565383450525e+00, 4.093158040283006e-05, -2.128412979425135e-05
148, 5.272091744529669e-02, -9.394295792429047e-02, 9.757235627397099e-01, -2.577335363968284e+00, 4.491943180631224e-05, -2.507262626165439e-05
147, 4.640551350775141e-02, -9.028756901831479e-02, 9.747974247460682e-01, -2.675659849449187e+00, 4.898263867056907e-05, -2.936975968714517e-05
146, 4.055945135619536e-02, -8.665100007607272e-02, 9.738310685929334e-01, -2.778254141229251e+00, 5.317249950051952e-05, -3.427358856555936e-05
145, 3.519676327449885e-02, -8.306270470993557e-02, 9.728998685471107e-01, -2.877116045193781e+00, 5.749883989595926e-05, -3.986470716287710e-05
144, 3.032086160957542e-02, -7.955245021405152e-02, 9.719617614704603e-01, -2.976711241882505e+00, 6.195668749228638e-05, -4.620681958901482e-05
143, 2.590786524383498e-02, -7.613511621455196e-02, 9.710022522913497e-01, -3.078578616936712e+00, 6.678689361046364e-05, -5.357733993219187e-05
1736, 9.140383302172082e-02, -1.318640162847703e-03, 1.008609762257510e+00, 9.140651284090043e-01, 1.440359680295650e-05, -1.319204291569256e-06
1737, 1.014762940255324e-01, -2.368260307013717e-03, 1.008162349180690e+00, 8.665650140872228e-01, 1.482007689019898e-05, -1.710134185956636e-06
1828, 1.118923833277460e-01, -3.682876904574590e-03, 1.007783489713666e+00, 8.263429711298607e-01, 1.495991663837138e-05, -2.042332882562224e-06
1829, 1.226615074941784e-01, -5.260472819758451e-03, 1.007460019513643e+00, 7.920013922247294e-01, 1.490981879139491e-05, -2.325419859478767e-06
1868, 1.337521844758143e-01, -7.092255410456418e-03, 1.007175739203477e+00, 7.618204522122340e-01, 1.472467215740928e-05, -2.557204882843225e-06
1884, 1.451535771252936e-01, -9.166626360636837e-03, 1.006924313723711e+00, 7.351275823542750e-01, 1.443642997619462e-05, -2.733648906835445e-06
1885, 1.568650591842750e-01, -1.146885577389771e-02, 1.006708144419874e+00, 7.121777242095104e-01, 1.407615942011372e-05, -2.856629824598553e-06
1886, 1.688784775731843e-01, -1.398138130780187e-02, 1.006525582012074e+00, 6.927957801165925e-01, 1.367500864729147e-05, -2.932675558343609e-06
1887, 1.811783216101335e-01, -1.668295927459507e-02, 1.006375290419862e+00, 6.768399035864527e-01, 1.325954526723906e-05, -2.967406696916836e-06
1888, 1.937601034231355e-01, -1.954973992713922e-02, 1.006251834911710e+00, 6.637331102120964e-01, 1.284945986890453e-05, -2.964990695023178e-06
1889, 2.066101340987808e-01, -2.255130612774897e-02, 1.006151880271600e+00, 6.531213130202458e-01, 1.245928843357800e-05, -2.935052509127175e-06
1890, 2.197336994320381e-01, -2.566837732311873e-02, 1.006068601783017e+00, 6.442799582785097e-01, 1.209193442655101e-05, -2.889505963751045e-06
1891, 2.331146563890540e-01, -2.888486472329961e-02, 1.005995795011248e+00, 6.365503451724525e-01, 1.174306305943283e-05, -2.833121844194156e-06
1908, 2.467471764199626e-01, -3.218562681371472e-02, 1.005928923511324e+00, 6.294508569012012e-01, 1.141036773436675e-05, -2.765948333599162e-06
1909, 2.606257979929052e-01, -3.555374674761815e-02, 1.005865236828420e+00, 6.226894883238253e-01, 1.109108365619667e-05, -2.687755982404264e-06
1911, 2.747254837463280e-01, -3.896574544098426e-02, 1.005813482180171e+00, 6.171948976740034e-01, 1.078881009265782e-05, -2.599891328186353e-06
1913, 2.890514196607649e-01, -4.240376325897270e-02, 1.005771446786613e+00, 6.127321626690768e-01, 1.050479085732800e-05, -2.503146063600639e-06
1917, 3.035992191545751e-01, -4.584595639522538e-02, 1.005735081386639e+00, 6.088713889331400e-01, 1.024038646100106e-05, -2.398765794575546e-06
1916, 3.183439454181762e-01, -4.926540945672103e-02, 1.005703561476818e+00, 6.055250421286485e-01, 9.994475969733929e-06, -2.288139188484924e-06
1915, 3.332793737372783e-01, -5.264094244818412e-02, 1.005678740019467e+00, 6.028898440915483e-01, 9.766534651876285e-06, -2.172360234004144e-06
1914, 3.484092633449160e-01, -5.595280712793026e-02, 1.005658132281831e+00, 6.007020003642782e-01, 9.558642783218932e-06, -2.052235883947201e-06
1912, 3.637072894050282e-01, -5.917380091180449e-02, 1.005642379625183e+00, 5.990296017903259e-01, 9.374264239506637e-06, -1.928584732877165e-06
1910, 3.791570774234270e-01, -6.227861182962093e-02, 1.005630088037904e+00, 5.977246515526081e-01, 9.216082937901362e-06, -1.801864899785237e-06
