"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
10	1.001772674495295e+00	3.184945668095898e-04	1.007581384014395e+00	2.677181813452201e-01	1.510726684184741e-01	2.549018148896310e+00	2.265544326579647e-05	1.000850268358591e+00	9.933195315409806e-01	9.026970003727962e-02	2.587128598105398e-01	5.528210075556428e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.282708683779468e-05	
11	1.001393277246379e+00	1.183368353516177e-04	1.009652030765852e+00	2.918718369471693e-01	1.652528566274007e-01	2.556217336936086e+00	2.093875231402177e-05	1.000202489758046e+00	9.906407943332340e-01	2.149755372493755e-02	2.820836600703561e-01	5.516718360311220e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.114071934315108e-05	
12	1.002264093017343e+00	9.116610721654720e-04	1.008300342624965e+00	2.353114043588809e-01	1.485657969549100e-01	2.544257467746690e+00	2.025362700390176e-05	1.002341839279449e+00	9.940905471379651e-01	2.486240104731799e-01	2.339509909517153e-01	5.531514922900982e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.042159379747171e-05	
13	1.001753366438961e+00	6.507679846899919e-04	1.011658221349953e+00	2.611886459426500e-01	1.695671558265438e-01	2.553776884303075e+00	1.785241277881149e-05	1.002339747731666e+00	9.907889112927369e-01	2.484019589419493e-01	2.613580970959374e-01	5.517354172058145e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.806035586862181e-05	
14	1.001059534157742e+00	-7.722557072848389e-05	1.013468487788862e+00	3.173486297591419e-01	1.731265181909326e-01	2.569953775194088e+00	1.972659848477872e-05	1.002192263409287e+00	9.888736309856301e-01	2.327441193824810e-01	3.031550376516848e-01	5.509129015146461e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.999213621063109e-05	
15	1.001559920149019e+00	-6.182852800832638e-04	9.880638627839254e-01	8.661183579840018e-02	6.613625524812737e-02	2.498574177302546e+00	3.152794488587518e-05	9.970258557819535e-01	1.009070256828114e+00	-3.157533779988255e-01	9.279366046730557e-02	5.595477591505374e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.115155839756113e-05	
16	1.001157492959708e+00	-4.458918625976706e-04	9.934214650932803e-01	1.686845855730844e-01	9.796424977308262e-02	2.521989226497748e+00	2.682962913681515e-05	1.001134997734970e+00	1.007764612415502e+00	1.204983156711293e-01	1.653136397076452e-01	5.589921035785055e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.665304148389336e-05	
17	1.001704363982082e+00	-1.029051543447207e-03	9.847491796529286e-01	1.795409128213178e-02	5.909550529770440e-02	2.483927250128256e+00	3.333993149939729e-05	9.927961589864757e-01	1.008171602982582e+00	-7.648039125960100e-01	5.279213528612841e-02	5.591653481026068e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.283141214392903e-05	
18	1.001845193692439e+00	-1.497186204169097e-03	9.850891154087036e-01	-1.282461166721803e-02	6.279770624829922e-02	2.482383960049306e+00	3.353641594596912e-05	9.921195432187013e-01	1.007136844474300e+00	-8.366375893174233e-01	5.479395268338060e-02	5.587248133533809e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.303630112163398e-05	
19	1.002418419821552e+00	-1.677210351500067e-03	9.856097141246957e-01	-1.086621538080939e-02	5.698035421979016e-02	2.482917258778009e+00	3.698823075645839e-05	9.924841108488558e-01	1.006974765594985e+00	-7.979328553533428e-01	4.956825447187468e-02	5.586557904194541e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.645591259004710e-05	
