"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
1875, -7.023014548364274e-02, 2.281975748837107e+01, -2.054809494641039e+00, 5.365162031591155e-01, -7.318613020208689e-05, 7.681698453684167e-01, -6.180636049726917e-02
1874, -6.643992876623281e-02, 2.090319625314262e+01, -1.979633966737337e+00, 5.186930809892157e-01, -7.719396673275277e-05, 7.816200112440748e-01, -5.926663765286520e-02
1873, -7.745721676417529e-02, 1.900725878116443e+01, -1.906157815049519e+00, 5.072477792695660e-01, -8.308057091618684e-05, 7.947643367020157e-01, -5.661681925056868e-02
1872, -7.219743143366759e-02, 1.681012283493341e+01, -1.819614323044935e+00, 4.980252714244068e-01, -8.774161490787615e-05, 8.075827638164247e-01, -5.387629198501263e-02
1871, -9.603678507700493e-02, 1.464794184233446e+01, -1.735359495803071e+00, 4.936471093154998e-01, -9.426804852901795e-05, 8.200664379766400e-01, -5.106368301155136e-02
1870, -1.072685401553566e-01, 1.216322246339037e+01, -1.637390336072636e+00, 4.931358077772504e-01, -1.025249063390749e-04, 8.321870529867161e-01, -4.820304407860788e-02
1869, -1.541119882586566e-01, 9.924959282563657e+00, -1.548937847678836e+00, 4.941133756506806e-01, -1.144508483830248e-04, 8.439566727036734e-01, -4.530851296867486e-02
1867, -1.695740586877130e-01, 7.627424014517738e+00, -1.457805840194912e+00, 4.996371325116776e-01, -1.310275634175655e-04, 8.553672813929958e-01, -4.239745144941403e-02
1866, -1.956689383517371e-01, 5.815960774052718e+00, -1.386143112269568e+00, 5.045832240987285e-01, -1.485873933972059e-04, 8.663810816600793e-01, -3.949325585147986e-02
1865, -2.076107536575054e-01, 3.991622502091728e+00, -1.313989641965899e+00, 5.108255451564654e-01, -1.692978826032537e-04, 8.770202903501004e-01, -3.660110795784370e-02
1862, -2.149659715175531e-01, 2.168232232382670e+00, -1.241426147585709e+00, 5.165656303022743e-01, -1.886671690003227e-04, 8.872672295746256e-01, -3.373377936117349e-02
1861, -2.294870053696389e-01, 4.441271428475607e-01, -1.173127572804275e+00, 5.256778297163404e-01, -2.107213955109735e-04, 8.971042476804670e-01, -3.090255923841049e-02
1739, -2.400243832955564e-01, -1.285017146308857e+00, -1.103439485695870e+00, 5.341092522686268e-01, -2.316023707860130e-04, 9.065337092413835e-01, -2.811351763887774e-02
1738, -2.709701865980590e-01, -2.866678296420885e+00, -1.038857403424599e+00, 5.456397563906905e-01, -2.559716910269557e-04, 9.155475464014634e-01, -2.537814409385931e-02
1618, -2.960857390517283e-01, -4.483383885144961e+00, -9.714843660885905e-01, 5.593855814576979e-01, -2.811814613042231e-04, 9.241277825024581e-01, -2.271899330724243e-02
1617, -3.447744704485630e-01, -5.976265212863364e+00, -9.076813697797241e-01, 5.789868200861995e-01, -3.113230519468672e-04, 9.322861238029431e-01, -2.016081243767575e-02
1538, -3.841621716595495e-01, -7.608536041928180e+00, -8.365201112167987e-01, 6.034212593965093e-01, -3.444459092871705e-04, 9.399950942287938e-01, -1.774959619333118e-02
1537, -4.443131792388704e-01, -9.232846776586449e+00, -7.630966063211148e-01, 6.348401371152802e-01, -3.842234348704995e-04, 9.472666673770933e-01, -1.552004963245693e-02
1419, -4.901669352303497e-01, -1.109463794602160e+01, -6.763410664390674e-01, 6.702216011073602e-01, -4.290913708599155e-04, 9.540933139134353e-01, -1.350233093612982e-02
1301, -5.527115097811113e-01, -1.297529231290590e+01, -5.816559135394963e-01, 7.089148234779236e-01, -4.820127161779121e-04, 9.604691403531374e-01, -1.170793251298222e-02
1300, -6.079006803119538e-01, -1.495516201423686e+01, -4.707810261308584e-01, 7.448974321166875e-01, -5.415513242524069e-04, 9.663887694175468e-01, -1.012140660898544e-02
1196, -6.854250773732551e-01, -1.671461154354743e+01, -3.487174805999829e-01, 7.783566966269360e-01, -6.105792336064049e-04, 9.718554596003331e-01, -8.699551055491968e-03
1059, -7.846355254214969e-01, -1.807780549615023e+01, -2.111724911717319e-01, 8.086605896243346e-01, -6.898832131313793e-04, 9.768521630321518e-01, -7.394500983302544e-03
915, -9.292656812695234e-01, -1.859565980748575e+01, -5.998729141395227e-02, 8.425874226160097e-01, -7.858641311320865e-04, 9.814000232833900e-01, -6.157100650267172e-03
767, -1.152294800535497e+00, -1.777818649372820e+01, 1.102225379408308e-01, 8.851774004941299e-01, -9.026889050767420e-04, 9.854707918496221e-01, -4.973982142741746e-03
616, -1.443665847114280e+00, -1.467546569873988e+01, 2.990129091978455e-01, 9.352983534902423e-01, -1.054475944044684e-03, 9.890844275484538e-01, -3.844099627617309e-03
540, 6.435117174456374e-02, 2.592214841041117e+02, -8.116197729240964e+00, -1.529397186681489e-01, 1.056932383512616e-03, 4.219629181381086e-01, -1.782747194286186e-01
539, 1.823723805237012e-02, 2.675883457972840e+02, -8.222809198431463e+00, -5.131758752114494e-02, 1.082684450376179e-03, 4.059765767759537e-01, -1.802914466890908e-01
536, 6.404674270778533e-02, 2.756687946153841e+02, -8.322601262494205e+00, 6.108006081561342e-02, 1.112330704293065e-03, 3.900895362754929e-01, -1.820746685069572e-01
535, 2.848280312537951e-03, 2.851994109189156e+02, -8.439299055188940e+00, 1.785381858643172e-01, 1.142149906552471e-03, 3.743255435915018e-01, -1.836147219229262e-01
534, 4.662403615099082e-02, 2.944103952155156e+02, -8.548476324261662e+00, 3.136042826857824e-01, 1.176629910259425e-03, 3.586875277512065e-01, -1.848980094294648e-01
533, 3.416333975490238e-03, 3.045864419219973e+02, -8.666109637936330e+00, 4.566568057674646e-01, 1.209086498218050e-03, 3.431988534453950e-01, -1.859100874490957e-01
532, 3.237164835563245e-02, 3.142539055459609e+02, -8.772111047987938e+00, 6.186264445508181e-01, 1.245837712676862e-03, 3.278928679042408e-01, -1.866380729164539e-01
531, 2.961148932452212e-04, 3.244678372228627e+02, -8.879005047780497e+00, 7.883047395893251e-01, 1.279228522442762e-03, 3.127717919495528e-01, -1.870725798643067e-01
530, 1.921778990787112e-02, 3.339814721425726e+02, -8.970462807157823e+00, 9.772590476776279e-01, 1.316386877169355e-03, 2.978478708810876e-01, -1.872048975781863e-01
529, -9.395345920841744e-03, 3.438360322498708e+02, -9.059238720994271e+00, 1.171142074278992e+00, 1.349263690432572e-03, 2.831542654336226e-01, -1.870297176557857e-01
528, 6.168995039873876e-03, 3.529413890454291e+02, -9.131303366748195e+00, 1.379966282166250e+00, 1.385415675477859e-03, 2.687049171666472e-01, -1.865477516927370e-01
527, -2.327929530074943e-02, 3.624492674839715e+02, -9.200848445610028e+00, 1.591876013785702e+00, 1.417609074705598e-03, 2.545033622501100e-01, -1.857608183973725e-01
526, -1.357819730162205e-02, 3.713279260503303e+02, -9.254674452781982e+00, 1.817001331555918e+00, 1.453335967775640e-03, 2.405830986273921e-01, -1.846736860559303e-01
525, -3.888170190582555e-02, 3.806247774419435e+02, -9.305712475871614e+00, 2.045542541533519e+00, 1.485575838465827e-03, 2.269565356045778e-01, -1.832918242741826e-01
524, -4.111165488955496e-02, 3.895868940391322e+02, -9.343928047166408e+00, 2.284967974532141e+00, 1.521345815414428e-03, 2.136354334665590e-01, -1.816218427416886e-01
523, -4.839825951095595e-02, 3.990525923691054e+02, -9.379308044507923e+00, 2.530261260819632e+00, 1.554963264357386e-03, 2.006410148863055e-01, -1.796731050558504e-01
