"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
555, 5.492170603240822e-01, -1.047697032679094e-01, 9.948510938303847e-01, -5.466394353676824e-01, 3.501373394654291e-07, 3.356236102514721e-08
554, 5.333559280604542e-01, -1.061802460257441e-01, 9.947730368989287e-01, -5.549264376031182e-01, 6.255478276419954e-07, 5.159469908026338e-08
549, 5.174617047282100e-01, -1.073888603391309e-01, 9.946749032111882e-01, -5.653449113312985e-01, 9.089340961972651e-07, 6.363066212919816e-08
548, 5.015374251303252e-01, -1.084077259034101e-01, 9.945446610463108e-01, -5.791722177774349e-01, 1.212213167726740e-06, 7.062246019293826e-08
547, 4.856161158224516e-01, -1.092441560038655e-01, 9.943833151726187e-01, -5.963016845784475e-01, 1.559611542282808e-06, 7.282260762079239e-08
546, 4.697100070534250e-01, -1.098938367171352e-01, 9.942107494057528e-01, -6.146223240028000e-01, 1.962500550523359e-06, 6.825646754794524e-08
543, 4.538311349885530e-01, -1.103496489486815e-01, 9.940424341604072e-01, -6.324917020121493e-01, 2.408669289423432e-06, 5.440327066160697e-08
542, 4.380117181576917e-01, -1.106097882999767e-01, 9.938548405082214e-01, -6.524077938443422e-01, 2.884609885529081e-06, 3.073940058761633e-08
142, 2.685684034278226e-02, -3.241281562150129e-02, 9.738282642866971e-01, -2.778551863566215e+00, 7.934719637728589e-05, -5.534504542702041e-05
141, 2.303657436754985e-02, -2.965499418328443e-02, 9.731745395911005e-01, -2.847955283771397e+00, 8.474845439972681e-05, -6.335969552215651e-05
140, 1.962108651805192e-02, -2.700321656207973e-02, 9.727047182898890e-01, -2.897834392529193e+00, 9.033763913913974e-05, -7.280648659312679e-05
139, 1.659091343022315e-02, -2.446019463915959e-02, 9.724146421563277e-01, -2.928630652674572e+00, 9.584724867983964e-05, -8.361988918880840e-05
138, 1.391370785585247e-02, -2.202393569731692e-02, 9.722272405542525e-01, -2.948526355289996e+00, 1.010945947659838e-04, -9.571007585360645e-05
137, 1.154471406944778e-02, -1.968276687746544e-02, 9.720810437020087e-01, -2.964047509129368e+00, 1.060349938781437e-04, -1.089473917662814e-04
95, 9.438181242861384e-03, -1.742548255055380e-02, 9.718765241618124e-01, -2.985760556967432e+00, 1.108161536550634e-04, -1.234167038882714e-04
94, 7.514810801380142e-03, -1.519463620401145e-02, 9.708024265880459e-01, -3.099793338282875e+00, 1.152993505310502e-04, -1.390453143874363e-04
59, 5.717049087434215e-03, -1.293798120691673e-02, 9.678547093852922e-01, -3.412741062373432e+00, 1.212072027197060e-04, -1.551309239913434e-04
