"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
12	1.002634920001156e+00	-3.367396366753189e-04	-1.600100660237938e+01	8.337229401009529e-01	1.081456244558261e+00	-1.494491185512591e-04	0.000000000000000e+00	0.000000000000000e+00	
13	1.002141390378987e+00	-6.017334626804813e-04	-1.914640532786936e+01	9.382013621641080e-01	1.142273130166418e+00	-1.475767139338050e-04	0.000000000000000e+00	0.000000000000000e+00	
14	1.001397368123266e+00	-1.354641506707144e-03	-3.163424276948286e+01	1.379461914865740e+00	1.021427903927943e+00	-1.335541346524303e-04	0.000000000000000e+00	0.000000000000000e+00	
15	1.001943252837712e+00	-1.943705357956286e-03	-2.540293445249364e+01	1.475115418327241e+00	9.951787134681284e-01	-1.255862182477500e-04	0.000000000000000e+00	0.000000000000000e+00	
16	1.001499246181984e+00	-1.771922444912274e-03	-3.050000611706839e+01	1.526088661940054e+00	9.505305546516605e-01	-1.229843472510061e-04	0.000000000000000e+00	0.000000000000000e+00	
17	1.002117207788181e+00	-2.378238005626925e-03	-2.384202799418037e+01	1.527139085874269e+00	9.117463831001654e-01	-1.253389574451552e-04	0.000000000000000e+00	0.000000000000000e+00	
18	1.002298932939275e+00	-2.866623546170520e-03	-2.222152907259312e+01	1.544205050384230e+00	8.283751165445211e-01	-1.245614484571699e-04	0.000000000000000e+00	0.000000000000000e+00	
19	1.002917811620432e+00	-2.997965104839454e-03	-1.944146143475711e+01	1.452054505101591e+00	7.919874718124941e-01	-1.238726021604990e-04	0.000000000000000e+00	0.000000000000000e+00	
20	1.003331599577751e+00	-2.537595836616010e-03	-1.827059711522741e+01	1.356609280214052e+00	8.372528531135820e-01	-1.258615444700844e-04	0.000000000000000e+00	0.000000000000000e+00	
21	1.003367486965681e+00	-1.521498289203081e-03	-1.710229287307935e+01	1.178594066406087e+00	9.495978350008578e-01	-1.406691619613288e-04	0.000000000000000e+00	0.000000000000000e+00	
22	1.003707779801265e+00	-7.426047051348659e-04	-1.519232396084136e+01	1.005929715898118e+00	9.371129025702809e-01	-1.378559672529031e-04	0.000000000000000e+00	0.000000000000000e+00	
23	1.003726764995230e+00	-2.033994192324841e-03	-1.694091673869689e+01	1.248708273338593e+00	8.556997570288373e-01	-1.274151056233403e-04	0.000000000000000e+00	0.000000000000000e+00	
24	1.003176251035621e+00	-1.031835254956646e-04	-1.446797618596726e+01	8.240595352525283e-01	9.896395726716194e-01	-1.420195587950468e-04	0.000000000000000e+00	0.000000000000000e+00	
25	1.002790575937218e+00	2.408248988546930e-04	-1.370496773137563e+01	6.518522555182851e-01	9.930487212543484e-01	-1.562437360412578e-04	0.000000000000000e+00	0.000000000000000e+00	
26	1.001745636026567e+00	-8.017344735394495e-04	-2.339454802044213e+01	1.035991641062544e+00	1.145672280921935e+00	-1.429147423587959e-04	0.000000000000000e+00	0.000000000000000e+00	
27	1.001384191728207e+00	-9.938412327607678e-04	-3.011989751972181e+01	1.183629046976080e+00	1.078978095637678e+00	-1.328287051189846e-04	0.000000000000000e+00	0.000000000000000e+00	
28	1.002334238664603e+00	5.875492455963555e-04	-1.287075497075081e+01	4.630048168867280e-01	9.543139409348416e-01	-1.657295125329893e-04	0.000000000000000e+00	0.000000000000000e+00	
29	1.002258336522869e+00	9.941299338202627e-05	-1.458397339961272e+01	6.267538942344872e-01	1.059830112738617e+00	-1.602828992168099e-04	0.000000000000000e+00	0.000000000000000e+00	
30	1.002173172806604e+00	-2.935302167565518e-04	-1.695401756554246e+01	7.728267944180818e-01	1.123332306168966e+00	-1.545209279644006e-04	0.000000000000000e+00	0.000000000000000e+00	
31	1.001741527876112e+00	-4.380367561118013e-04	-2.026838200427570e+01	8.101705309735011e-01	1.148187335776900e+00	-1.627442246408436e-04	0.000000000000000e+00	0.000000000000000e+00	
32	1.001041950994952e+00	-1.159964300031115e-03	-3.940127872614445e+01	1.352255831083855e+00	8.876840002783997e-01	-9.902788579037062e-05	0.000000000000000e+00	0.000000000000000e+00	
33	1.003592544240889e+00	-3.180476887189887e-03	-1.773117435030713e+01	1.371823819410992e+00	7.369174303954951e-01	-1.274254122365102e-04	0.000000000000000e+00	0.000000000000000e+00	
34	1.001098946812067e+00	-1.589828580397241e-03	-3.814605857078044e+01	1.548415821526776e+00	8.542795796155819e-01	-1.041628505984476e-04	0.000000000000000e+00	0.000000000000000e+00	
35	1.000729827805533e+00	-1.400067244043219e-03	-4.893701515586464e+01	1.522025981434235e+00	6.743429152858191e-01	-7.116259885619389e-05	0.000000000000000e+00	0.000000000000000e+00	
36	1.001595807407148e+00	-2.238220523788778e-03	-2.837588772141035e+01	1.602732541053487e+00	8.771598072950676e-01	-1.270860116473967e-04	0.000000000000000e+00	0.000000000000000e+00	
37	1.001150798909181e+00	-2.062822738662999e-03	-3.428117013832308e+01	1.664459299269550e+00	7.771823007462696e-01	-9.997324811848405e-05	0.000000000000000e+00	0.000000000000000e+00	
38	1.001735148241796e+00	-2.755596351588539e-03	-2.597961240315287e+01	1.634983063201452e+00	8.058430720423422e-01	-1.179804059046993e-04	0.000000000000000e+00	0.000000000000000e+00	
39	1.001942171684197e+00	-3.256699024634896e-03	-2.353315022314807e+01	1.627369716761508e+00	7.315597207211434e-01	-1.201509023875558e-04	0.000000000000000e+00	0.000000000000000e+00	
40	1.002533471771045e+00	-3.432765704707996e-03	-2.061246909501158e+01	1.533348838272676e+00	7.336314302169580e-01	-1.235829723149069e-04	0.000000000000000e+00	0.000000000000000e+00	
