"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
217, -3.231930682982948e-02, -1.935023030115769e+01, 9.693092643860612e-01, -3.806186055099309e-01, -1.434399063042478e-04, 3.518008537548110e-05, -3.813152487176188e-02
282, 6.962432361926979e-02, -1.826503391135982e+01, 9.572613942077501e-01, -3.623987845078206e-01, -1.391392357969540e-04, 6.353361456930447e-05, -3.467537457132559e-02
345, 5.040444910373005e-02, -1.716443562788318e+01, 9.500435997507543e-01, -3.407150301264185e-01, -1.328778780171480e-04, 6.108891382802526e-04, -3.093688122855689e-02
346, 1.509575321981650e-02, -1.626929647706612e+01, 9.480415285491749e-01, -3.192482066646995e-01, -1.264631652743690e-04, 1.772810715458482e-03, -2.691041762580004e-02
418, 1.449068210042042e-02, -1.562386705359043e+01, 9.504366567297435e-01, -3.006464586022009e-01, -1.207737954712538e-04, 3.645682386023376e-03, -2.267361443786795e-02
497, -6.082207552232762e-03, -1.516818602496319e+01, 9.558019996622380e-01, -2.860699634119483e-01, -1.162884084492565e-04, 6.317071397390414e-03, -1.836480167328523e-02
645, 4.333559533505640e-02, -1.490945462796421e+01, 9.630927359704388e-01, -2.757340783262155e-01, -1.128238382621880e-04, 9.835137844882587e-03, -1.421546325188014e-02
789, 1.335462766166177e-01, -1.488366389207264e+01, 9.722280418606026e-01, -2.693125266709446e-01, -1.099934531661265e-04, 1.424138035236019e-02, -1.050402574143613e-02
936, 1.103984973208601e-01, -1.509406881851941e+01, 9.818514624162201e-01, -2.664191740972246e-01, -1.075014583407327e-04, 1.948043821382322e-02, -7.453035780955184e-03
1079, 1.234295725434354e-02, -1.562912756060159e+01, 9.895937283579470e-01, -2.659513232578454e-01, -1.048470768075989e-04, 2.546082614906927e-02, -4.974540618573178e-03
1080, 1.014992209937212e-03, -1.673409372725699e+01, 9.968197726530530e-01, -2.665690577710262e-01, -1.007676059503189e-04, 3.203755371556350e-02, -2.935923872924669e-03
1221, 5.626100155047842e-03, -1.832581005559025e+01, 1.006007135530857e+00, -2.678101690143200e-01, -9.530748595473843e-05, 3.916171245395839e-02, -1.333655301506635e-03
1355, 2.568396775237734e-03, -1.945413645710880e+01, 1.011732361056388e+00, -2.698789362435975e-01, -9.157913155066190e-05, 4.680417568812203e-02, -1.771043462151077e-04
1356, 2.150297367058483e-03, -1.900613845848818e+01, 1.000143738987335e+00, -2.725247906062316e-01, -9.293041258208989e-05, 5.490741045153565e-02, 5.454255316716900e-04
1471, 2.899492033874722e-03, -1.707320344682882e+01, 9.633742967718829e-01, -2.738843945975404e-01, -9.862700810769156e-05, 6.343256670888568e-02, 8.533007532360740e-04
1588, 3.550961506052420e-03, -1.502580806631344e+01, 9.115653006318185e-01, -2.723532784433244e-01, -1.039956927794329e-04, 7.237285643911417e-02, 7.741443283382903e-04
